;DeltaSol MX [Regler];;;;;;;;;;;;;;;;WMZ Plus Master;;;;WMZ Plus Slave 1;;;;DeltaSol MX [Regler];;;;;;WMZ Plus Slave 1;DeltaSol MX [Regler];;WMZ Plus Slave 1
Date / Time;T out PVT1 [ °C];T bas ballon [ °C];T in PVT1 [ °C];T haut ballon [ °C];T out PVT2 [ °C];T in PVT2 [ °C];T out PVT3 [ °C];T in PVT3 [ °C];T out PVT4 [ °C];T in PVT4 [ °C];T out PVT5 [ °C];T in PVT5 [ °C];Irradiation solaire [ W/m²];T out PVT6 [ °C];T in PVT6 [ °C];T extérieure [ °C];T out PVT7 [ °C];T in PVT7 [ °C];T out PVT8 [ °C];T in PVT8 [ °C];T out PVT9 [ °C];T in PVT9 [ °C];T out PVT10 [ °C];T in PVT10 [ °C];Pression entrée PVT [ bar];Pression sortie PVT [ bar];T entrée PVT RPS [ °C];T sortie PVT RPS [ °C];T sortie PVT VFD [ °C];Débit VFD [ l/h];débit IMP [ l/h];Relais 1 [ %];Signal PWM [ %];Vitesse du vent [ m/s]
11/22/2022 00:00:14;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;1.43
11/22/2022 00:01:15;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.35
11/22/2022 00:02:14;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.70
11/22/2022 00:03:15;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.22
11/22/2022 00:04:15;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;1.52
11/22/2022 00:05:14;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.4;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;1.40
11/22/2022 00:06:15;9.5;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;2.05
11/22/2022 00:07:14;9.5;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.22
11/22/2022 00:08:15;9.4;13.6;9.4;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.25
11/22/2022 00:09:15;9.4;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.82
11/22/2022 00:10:15;9.4;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.12
11/22/2022 00:11:14;9.4;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.70
11/22/2022 00:12:14;9.4;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.17
11/22/2022 00:13:13;9.4;13.6;9.3;14.1;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;8.3;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0.51;0.50;9.5;12.3;12.4;0.00;0.00;0;20;0.92
