;DeltaSol MX [Regler];;;;;;;;;;;;;;;;WMZ Plus Master;;;;WMZ Plus Slave 1;;;;DeltaSol MX [Regler];;;;;;WMZ Plus Slave 1;DeltaSol MX [Regler];;WMZ Plus Slave 1
Date / Time;T out PVT1 [ °C];T bas PVT1 [ °C];T haut PVT2 [ °C];T bas PVT2 [ °C];T haut PVT3 [ °C];T bas PVT3 [ °C];T haut PVT4 [ °C];T bas PVT4 [ °C];T haut PVT5 [ °C];T bas PVT5 [ °C];T haut PVT6 [ °C];T bas PVT6 [ °C];Irradiation solaire [ W/m²];T haut PVT7 [ °C];T bas PVT7 [ °C];T haut PVT8 [ °C];T bas PVT8 [ °C];T haut PVT9 [ °C];T bas PVT9 [ °C];T haut PVT10 [ °C];T bas PVT10 [ °C];T extérieure [ °C];T haut ballon [ °C];T bas ballon [ °C];Pression entrée PVT [ bar];Pression sortie PVT [ bar];T entrée PVT [ °C];T sortie PVT [ °C];T entrée PVT débitmètre [ °C];Débit [ l/h];débit [ l/h];Relais 1 [ %];Signal PWM [ %];Vitesse du vent [ m/s]
11/14/2022 00:00:38;8.1;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.5;7.6;8.4;8.1;0.38;0.36;8.4;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:01:38;8.1;8.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.6;7.6;8.4;8.1;0.38;0.36;8.4;8.4;8.3;61.00;103.00;100;20;0.00
11/14/2022 00:02:39;8.2;8.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.7;7.6;8.4;8.1;0.38;0.36;8.4;8.4;8.3;73.00;103.00;100;20;0.00
11/14/2022 00:03:38;8.3;8.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.7;7.7;8.4;8.1;0.38;0.36;8.5;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:04:40;8.3;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.7;7.7;8.4;8.1;0.38;0.36;8.5;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:05:42;8.3;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.6;7.8;8.4;8.1;0.38;0.36;8.4;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:06:38;8.3;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.6;7.8;8.4;8.1;0.38;0.36;8.4;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:07:38;8.3;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.5;7.8;8.3;8.1;0.38;0.36;8.5;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:08:38;8.2;8.7;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.5;7.8;8.4;8.1;0.38;0.36;8.4;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:09:39;8.2;8.6;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.8;8.3;8.1;0.38;0.36;8.5;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:10:38;8.1;8.6;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.8;8.3;8.1;0.38;0.36;8.4;8.4;8.3;66.00;103.00;100;20;0.00
11/14/2022 00:11:38;8.1;8.6;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.8;8.3;8.1;0.38;0.36;8.4;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:12:37;8.0;8.6;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.8;8.3;8.1;0.38;0.36;8.4;8.4;8.3;61.00;103.00;100;20;0.00
11/14/2022 00:13:38;8.0;8.6;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.8;8.3;8.1;0.38;0.36;8.5;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:14:39;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.3;8.1;0.38;0.36;8.4;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:15:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.3;8.1;0.38;0.36;8.4;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:16:37;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.3;8.1;0.38;0.36;8.4;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:17:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.3;8.0;0.36;0.36;8.6;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:18:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.7;8.3;8.0;0.37;0.36;8.6;8.4;8.3;64.00;103.00;100;20;0.00
11/14/2022 00:19:39;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.7;8.3;8.0;0.36;0.36;8.6;8.4;8.3;59.00;103.00;100;20;0.00
11/14/2022 00:20:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.7;8.3;8.0;0.37;0.36;8.6;8.4;8.3;69.00;103.00;100;20;0.00
11/14/2022 00:21:37;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.7;8.3;8.0;0.37;0.36;8.6;8.4;8.3;61.00;0.00;100;20;0.00
11/14/2022 00:22:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.4;7.7;8.3;8.0;0.37;0.36;8.6;8.4;8.3;66.00;0.00;100;20;0.00
11/14/2022 00:23:39;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.2;8.0;0.37;0.36;8.6;8.4;8.3;59.00;0.00;100;20;0.00
11/14/2022 00:24:38;8.0;8.5;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;888.8;0;999.9;999.9;999.9;888.8;888.8;888.8;888.8;8.3;7.7;8.2;8.0;0.37;0.36;8.6;8.4;8.3;66.00;0.00;100;20;0.00
